Created on 03-03-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-03-03 01-AM,ETHUSD,858,863.49,857.99,863.49,2117.4,1824349.39
2018-03-03 12-AM,ETHUSD,854.31,858,854.3,858,1556.59,1331909.11
2018-03-02 11-PM,ETHUSD,855.98,859.04,854,854.31,1802.39,1543212.67
2018-03-02 10-PM,ETHUSD,856.2,856.25,854.99,855.98,1942.82,1662926.23
2018-03-02 09-PM,ETHUSD,856.91,857.75,853.51,856.2,2461.25,2106123.49
2018-03-02 08-PM,ETHUSD,848.69,856.97,848.69,856.91,2370.81,2024079.6
2018-03-02 07-PM,ETHUSD,855,856,846.97,848.69,4527.01,3850543.92
2018-03-02 06-PM,ETHUSD,855.24,855.57,853.46,855,1825.03,1559442.54
2018-03-02 05-PM,ETHUSD,854,856.4,853.97,855.24,1793.27,1533385.2
2018-03-02 04-PM,ETHUSD,855.06,855.85,852.96,854,1562.2,1334498.69
2018-03-02 03-PM,ETHUSD,853.42,855.17,853.4,855.06,2561.35,2188165.46
2018-03-02 02-PM,ETHUSD,861.68,862.39,853,853.42,2322.44,1988750.69
2018-03-02 01-PM,ETHUSD,862.68,863.7,861.5,861.68,1259.53,1086825.64
2018-03-02 12-PM,ETHUSD,859.1,862.84,859.09,862.68,1621.68,1396121.64
2018-03-02 11-AM,ETHUSD,859.1,859.1,858.81,859.1,692.28,594611.04
2018-03-02 10-AM,ETHUSD,862.14,862.35,858.99,859.1,1286.29,1107234.13
2018-03-02 09-AM,ETHUSD,869.51,869.99,862.1,862.14,1910.14,1651834.55
2018-03-02 08-AM,ETHUSD,868.76,870.75,866.67,869.51,729.69,634395.55
2018-03-02 07-AM,ETHUSD,871,871,868.74,868.76,672.6,584991.29
2018-03-02 06-AM,ETHUSD,868.75,871,868.74,871,878.27,764013.76
2018-03-02 05-AM,ETHUSD,869,869,867.4,868.75,736.02,638828.63
2018-03-02 04-AM,ETHUSD,870.88,872,865.03,869,1838.2,1597305.65
2018-03-02 03-AM,ETHUSD,872.02,873.12,870.5,870.88,1636.32,1426600.42
2018-03-02 02-AM,ETHUSD,872.89,872.89,871,872.02,1464.09,1276905.95
2018-03-02 01-AM,ETHUSD,868.17,872.89,867.15,872.89,2331.08,2028559.68
2018-03-02 12-AM,ETHUSD,868.74,872.79,864.99,868.17,3551.38,3088695.44
2018-03-01 11-PM,ETHUSD,869.18,870.21,868.33,868.74,1180.1,1025922.16
2018-03-01 10-PM,ETHUSD,868.43,870,864.5,869.18,2421.06,2098462.8
2018-03-01 09-PM,ETHUSD,875.99,876,868.04,868.43,2279.79,1989330.26
2018-03-01 08-PM,ETHUSD,872.36,876,871.93,875.99,2197.15,1921362.65
2018-03-01 07-PM,ETHUSD,875.8,876.85,869.11,872.36,2293.5,2002804.12
2018-03-01 06-PM,ETHUSD,872.44,878,872.43,875.8,3828.8,3352205.6
2018-03-01 05-PM,ETHUSD,865.97,875.53,865.43,872.44,2520.23,2192224.56
2018-03-01 04-PM,ETHUSD,863.21,865.99,861.65,865.97,1579.73,1365452.76
2018-03-01 03-PM,ETHUSD,864.71,865,861.5,863.21,1679.68,1448721.18
