SUMMARY______________________________,,,,,
files:,,,,,
Gdax_BTCUSD_1h_new.csv,,,,,
Gdax_ETHUSD_1h_new.csv,,,,,
predInd=2,d=1,,,,
inputs:     2,,,,,
,,,,,
trainMSE,testMSE,n,g_p,C,params
120.903182,10.422153,3,0.001,0.001,-s 3 -t 2 -g 3.333333e-04 -c 1.000000e-03
95.246797,8.497666,10,0.001,0.001,-s 3 -t 2 -g 1.000000e-04 -c 1.000000e-03
89.59152,8.250487,30,0.001,0.001,-s 3 -t 2 -g 3.333333e-05 -c 1.000000e-03
88.625729,7.948411,100,0.001,0.001,-s 3 -t 2 -g 1.000000e-05 -c 1.000000e-03
89.910943,7.997202,300,0.001,0.001,-s 3 -t 2 -g 3.333333e-06 -c 1.000000e-03
120.844446,10.389517,3,0.01,0.001,-s 3 -t 2 -g 3.333333e-03 -c 1.000000e-03
95.243714,8.497479,10,0.01,0.001,-s 3 -t 2 -g 1.000000e-03 -c 1.000000e-03
89.590002,8.250137,30,0.01,0.001,-s 3 -t 2 -g 3.333333e-04 -c 1.000000e-03
88.625132,7.948377,100,0.01,0.001,-s 3 -t 2 -g 1.000000e-04 -c 1.000000e-03
89.910627,7.997221,300,0.01,0.001,-s 3 -t 2 -g 3.333333e-05 -c 1.000000e-03
120.585379,10.378221,3,0.1,0.001,-s 3 -t 2 -g 3.333333e-02 -c 1.000000e-03
95.213473,8.495869,10,0.1,0.001,-s 3 -t 2 -g 1.000000e-02 -c 1.000000e-03
89.574976,8.246709,30,0.1,0.001,-s 3 -t 2 -g 3.333333e-03 -c 1.000000e-03
88.61919,7.948037,100,0.1,0.001,-s 3 -t 2 -g 1.000000e-03 -c 1.000000e-03
89.907479,7.997402,300,0.1,0.001,-s 3 -t 2 -g 3.333333e-04 -c 1.000000e-03
118.260125,10.194993,3,1,0.001,-s 3 -t 2 -g 3.333333e-01 -c 1.000000e-03
94.937885,8.476528,10,1,0.001,-s 3 -t 2 -g 1.000000e-01 -c 1.000000e-03
89.455059,8.234569,30,1,0.001,-s 3 -t 2 -g 3.333333e-02 -c 1.000000e-03
88.562468,7.944727,100,1,0.001,-s 3 -t 2 -g 1.000000e-02 -c 1.000000e-03
89.887118,8.010617,300,1,0.001,-s 3 -t 2 -g 3.333333e-03 -c 1.000000e-03
109.798426,8.974064,3,10,0.001,-s 3 -t 2 -g 3.333333e+00 -c 1.000000e-03
93.677447,8.30536,10,10,0.001,-s 3 -t 2 -g 1 -c 1.000000e-03
88.819124,8.18277,30,10,0.001,-s 3 -t 2 -g 3.333333e-01 -c 1.000000e-03
88.191556,7.915635,100,10,0.001,-s 3 -t 2 -g 1.000000e-01 -c 1.000000e-03
89.597528,7.948136,300,10,0.001,-s 3 -t 2 -g 3.333333e-02 -c 1.000000e-03
110.174688,7.849906,3,100,0.001,-s 3 -t 2 -g 3.333333e+01 -c 1.000000e-03
93.447565,8.11908,10,100,0.001,-s 3 -t 2 -g 10 -c 1.000000e-03
88.60707,8.045589,30,100,0.001,-s 3 -t 2 -g 3.333333e+00 -c 1.000000e-03
87.985925,7.920771,100,100,0.001,-s 3 -t 2 -g 1 -c 1.000000e-03
89.280383,7.902337,300,100,0.001,-s 3 -t 2 -g 3.333333e-01 -c 1.000000e-03
117.082454,8.612721,3,1000,0.001,-s 3 -t 2 -g 3.333333e+02 -c 1.000000e-03
94.598767,8.463121,10,1000,0.001,-s 3 -t 2 -g 100 -c 1.000000e-03
88.971459,8.196807,30,1000,0.001,-s 3 -t 2 -g 3.333333e+01 -c 1.000000e-03
88.051223,7.94538,100,1000,0.001,-s 3 -t 2 -g 10 -c 1.000000e-03
89.298831,7.942498,300,1000,0.001,-s 3 -t 2 -g 3.333333e+00 -c 1.000000e-03
120.844418,10.389518,3,0.001,0.01,-s 3 -t 2 -g 3.333333e-04 -c 1.000000e-02
95.243711,8.49748,10,0.001,0.01,-s 3 -t 2 -g 1.000000e-04 -c 1.000000e-02
89.590001,8.250137,30,0.001,0.01,-s 3 -t 2 -g 3.333333e-05 -c 1.000000e-02
88.625132,7.948377,100,0.001,0.01,-s 3 -t 2 -g 1.000000e-05 -c 1.000000e-02
